blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,1.92,0.6,1.05,FALSE,1.06
0,1,FALSE,0.3,2.1,0.4,1.53,TRUE,1.98
0,2,FALSE,0.2,2.25,0.4,1.27,FALSE,1.4
0,3,FALSE,0.5,1.81,0.4,1.54,TRUE,1.24
0,4,FALSE,0.35,2.47,0.4,1.08,FALSE,1.3
0,5,FALSE,0.45,1.96,0.4,1.18,TRUE,1.26
1,0,TRUE,0.4,2.76,0.35,0.7,TRUE,1.25
1,1,TRUE,0.4,1.68,0.6,1.36,FALSE,1.12
1,2,TRUE,0.4,1.45,0.5,0.69,FALSE,1.34
1,3,FALSE,0.45,1.64,0.4,0.76,TRUE,1.23
1,4,FALSE,0.3,1.62,0.4,0.56,FALSE,2.13
1,5,TRUE,0.4,1.72,0.2,1.57,TRUE,1.16
2,0,TRUE,0.4,1.38,0.5,0.7,FALSE,1
2,1,FALSE,0.3,0.57,0.4,0.4,FALSE,1.27
2,2,FALSE,0.6,0.72,0.4,0.6,TRUE,0.97
2,3,TRUE,0.4,0.43,0.2,0.4,TRUE,2.16
2,4,FALSE,0.45,1.37,0.4,1.13,TRUE,1.19
2,5,FALSE,0.35,1.48,0.4,1.27,TRUE,1.26
3,0,FALSE,0.5,1.99,0.4,1.19,TRUE,0.95
3,1,FALSE,0.35,2.21,0.4,1.14,TRUE,0.8
3,2,TRUE,0.4,1.56,0.3,1.29,TRUE,1.08
3,3,TRUE,0.4,1.44,0.2,0.65,TRUE,0.97
3,4,TRUE,0.4,1.44,0.45,0.75,FALSE,1.08
3,5,FALSE,0.6,1.39,0.4,0.69,TRUE,0.95
4,0,FALSE,0.3,0.96,0.4,1.06,FALSE,2.35
4,1,TRUE,0.4,0.98,0.45,0.66,FALSE,0.79
4,2,FALSE,0.6,0.68,0.4,0.76,TRUE,0.7
4,3,TRUE,0.4,1.37,0.35,1.16,TRUE,0.74
4,4,FALSE,0.2,1.68,0.4,0.9,FALSE,1.05
4,5,TRUE,0.4,2.22,0.5,0.76,TRUE,2.58
