blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,3.63,0.6,2.65,TRUE,9.5
0,1,FALSE,0.2,4.33,0.4,3.22,FALSE,1.7
0,2,TRUE,0.4,3.05,0.45,3.76,TRUE,1.38
0,3,FALSE,0.5,4.3,0.4,3.52,TRUE,1.36
0,4,TRUE,0.4,3.29,0.35,3.05,FALSE,2.2
0,5,FALSE,0.3,2.93,0.4,2.93,FALSE,1.43
1,0,FALSE,0.5,2.15,0.4,2.61,TRUE,1.16
1,1,TRUE,0.4,2.79,0.6,2.35,FALSE,1.04
1,2,TRUE,0.4,2.47,0.45,2.09,FALSE,1
1,3,TRUE,0.4,2.54,0.35,1.98,TRUE,1.95
1,4,TRUE,0.4,2.43,0.3,2.12,TRUE,1.14
1,5,TRUE,0.4,2.22,0.2,1.76,TRUE,1.14
2,0,FALSE,0.2,1.64,0.4,1.97,TRUE,2.68
2,1,FALSE,0.35,2.26,0.4,2,FALSE,1.9
2,2,FALSE,0.45,2.08,0.4,1.91,TRUE,4.09
2,3,TRUE,0.4,2.3,0.6,2.01,FALSE,1.08
2,4,TRUE,0.4,2.31,0.5,2.18,FALSE,0.99
2,5,FALSE,0.3,2.42,0.4,2.27,TRUE,1.26
3,0,TRUE,0.4,2.53,0.6,2.45,FALSE,1.3
3,1,FALSE,0.45,2.43,0.4,1.96,TRUE,0.99
3,2,FALSE,0.2,2.33,0.4,1.73,FALSE,1.02
3,3,TRUE,0.4,2.11,0.5,1.9,FALSE,1.49
3,4,TRUE,0.4,2.19,0.3,1.53,TRUE,1.1
3,5,TRUE,0.4,2.13,0.35,2.59,TRUE,2.82
4,0,FALSE,0.2,2.09,0.4,1.93,TRUE,1.08
4,1,TRUE,0.4,1.57,0.3,1.5,TRUE,3.58
4,2,FALSE,0.6,2.2,0.4,1.92,TRUE,0.97
4,3,FALSE,0.35,2.06,0.4,1.65,TRUE,5.31
4,4,TRUE,0.4,1.91,0.5,1.94,FALSE,2.38
4,5,TRUE,0.4,1.88,0.45,2.45,FALSE,1.22
