blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.6,2.15,0.65,1.71,TRUE,0.8
0,1,TRUE,0.6,1.93,0.8,1.76,FALSE,1.06
0,2,TRUE,0.6,2.04,0.4,1.58,TRUE,0.98
0,3,TRUE,0.6,2.23,0.55,1.76,TRUE,1.06
0,4,TRUE,0.6,1.93,0.7,1.72,TRUE,0.86
0,5,FALSE,0.5,1.97,0.6,1.83,FALSE,1.04
1,0,FALSE,0.5,1.76,0.6,1.55,TRUE,1.96
1,1,TRUE,0.6,2.01,0.7,1.72,FALSE,0.93
1,2,TRUE,0.6,2.01,0.55,1.5,TRUE,1.24
1,3,FALSE,0.4,1.63,0.6,1.37,FALSE,1.18
1,4,FALSE,0.65,1.67,0.6,1.46,FALSE,1.79
1,5,TRUE,0.6,1.71,0.8,2.01,TRUE,1.46
2,0,TRUE,0.6,1.59,0.5,1.76,TRUE,0.92
2,1,TRUE,0.6,1.97,0.65,1.88,TRUE,1.14
2,2,FALSE,0.7,1.93,0.6,2.54,FALSE,1.38
2,3,FALSE,0.55,1.82,0.6,1.76,FALSE,2.17
2,4,TRUE,0.6,1.79,0.8,1.61,FALSE,0.89
2,5,TRUE,0.6,1.95,0.4,1.5,TRUE,1.02
3,0,FALSE,0.65,1.83,0.6,1.65,TRUE,1.32
3,1,FALSE,0.55,1.65,0.6,1.52,TRUE,0.77
3,2,TRUE,0.6,1.59,0.4,1.42,TRUE,0.88
3,3,TRUE,0.6,1.93,0.8,1.33,TRUE,0.94
3,4,TRUE,0.6,1.57,0.7,1.25,TRUE,0.85
3,5,TRUE,0.6,1.85,0.5,1.74,FALSE,3.74
4,0,FALSE,0.4,2.03,0.6,1.72,FALSE,1.15
4,1,TRUE,0.6,1.8,0.7,2.04,FALSE,0.92
4,2,TRUE,0.6,1.9,0.8,1.94,FALSE,1.16
4,3,FALSE,0.5,1.89,0.6,1.83,FALSE,0.9
4,4,FALSE,0.55,1.95,0.6,1.89,TRUE,1.56
4,5,FALSE,0.65,2.01,0.6,1.89,FALSE,0.96
