blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,True,0.4,5.23,0.36,2.24,False,3.04
0,1,True,0.4,1.73,0.32,0.75,True,1.03
0,2,False,0.44,0.77,0.4,1.00,True,0.86
0,3,True,0.4,0.83,0.38,1.01,False,1.13
0,4,True,0.4,0.89,0.48,1.07,False,0.99
0,5,False,0.42,0.99,0.4,0.97,True,0.86
1,0,True,0.4,0.89,0.36,0.55,False,1.10
1,1,True,0.4,0.66,0.32,1.11,True,0.79
1,2,True,0.4,0.89,0.38,1.11,False,0.83
1,3,False,0.48,1.22,0.4,0.85,True,2.06
1,4,True,0.4,1.38,0.42,1.38,True,1.48
1,5,False,0.44,0.86,0.4,1.27,False,0.89
2,0,True,0.4,0.83,0.44,1.00,False,1.06
2,1,False,0.36,1.37,0.4,1.00,False,0.85
2,2,False,0.38,1.17,0.4,1.07,False,0.99
2,3,False,0.48,2.32,0.4,0.65,False,1.13
2,4,False,0.32,0.67,0.4,0.86,False,1.81
2,5,False,0.42,0.94,0.4,0.71,False,1.69
3,0,False,0.42,0.91,0.4,0.55,True,1.61
3,1,True,0.4,0.85,0.48,0.85,True,2.45
3,2,True,0.4,0.91,0.38,0.63,True,0.82
3,3,True,0.4,2.03,0.36,0.96,True,0.88
3,4,False,0.32,1.20,0.4,0.96,False,1.07
3,5,True,0.4,0.71,0.44,0.68,False,1.62
4,0,False,0.32,2.96,0.4,0.59,False,0.71
4,1,False,0.42,0.54,0.4,0.94,False,1.18
4,2,False,0.44,0.84,0.4,0.87,False,1.03
4,3,True,0.4,0.67,0.48,0.66,False,0.95
4,4,True,0.4,0.45,0.38,0.93,True,1.08
4,5,True,0.4,0.59,0.36,0.93,False,0.97
