blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,5.23,0.36,2.24,FALSE,3.04
0,1,TRUE,0.4,1.73,0.32,0.75,TRUE,1.03
0,2,FALSE,0.44,0.77,0.4,1,TRUE,0.86
0,3,TRUE,0.4,0.83,0.38,1.01,FALSE,1.13
0,4,TRUE,0.4,0.89,0.48,1.07,FALSE,0.99
0,5,FALSE,0.42,0.99,0.4,0.97,TRUE,0.86
1,0,TRUE,0.4,0.89,0.36,0.55,FALSE,1.1
1,1,TRUE,0.4,0.66,0.32,1.11,TRUE,0.79
1,2,TRUE,0.4,0.89,0.38,1.11,FALSE,0.83
1,3,FALSE,0.48,1.22,0.4,0.85,TRUE,2.06
1,4,TRUE,0.4,1.38,0.42,1.38,TRUE,1.48
1,5,FALSE,0.44,0.86,0.4,1.27,FALSE,0.89
2,0,TRUE,0.4,0.83,0.44,1,FALSE,1.06
2,1,FALSE,0.36,1.37,0.4,1,FALSE,0.85
2,2,FALSE,0.38,1.17,0.4,1.07,FALSE,0.99
2,3,FALSE,0.48,2.32,0.4,0.65,FALSE,1.13
2,4,FALSE,0.32,0.67,0.4,0.86,FALSE,1.81
2,5,FALSE,0.42,0.94,0.4,0.71,FALSE,1.69
3,0,FALSE,0.42,0.91,0.4,0.55,TRUE,1.61
3,1,TRUE,0.4,0.85,0.48,0.85,TRUE,2.45
3,2,TRUE,0.4,0.91,0.38,0.63,TRUE,0.82
3,3,TRUE,0.4,2.03,0.36,0.96,TRUE,0.88
3,4,FALSE,0.32,1.2,0.4,0.96,FALSE,1.07
3,5,TRUE,0.4,0.71,0.44,0.68,FALSE,1.62
4,0,FALSE,0.32,2.96,0.4,0.59,FALSE,0.71
4,1,FALSE,0.42,0.54,0.4,0.94,FALSE,1.18
4,2,FALSE,0.44,0.84,0.4,0.87,FALSE,1.03
4,3,TRUE,0.4,0.67,0.48,0.66,FALSE,0.95
4,4,TRUE,0.4,0.45,0.38,0.93,TRUE,1.08
4,5,TRUE,0.4,0.59,0.36,0.93,FALSE,0.97
