blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,2.04,0.3,1.54,TRUE,3.88
0,1,FALSE,0.2,1.69,0.4,1.56,FALSE,2.26
0,2,TRUE,0.4,1.77,0.6,1.5,FALSE,1.15
0,3,FALSE,0.5,1.72,0.4,1.52,FALSE,1.48
0,4,TRUE,0.4,1.32,0.45,1.23,FALSE,1.43
0,5,TRUE,0.4,1.63,0.35,1.21,TRUE,0.77
1,0,FALSE,0.2,2.7,0.4,1.36,FALSE,2.98
1,1,TRUE,0.4,1.19,0.45,1.58,TRUE,1.39
1,2,FALSE,0.6,1.45,0.4,1.23,TRUE,1.1
1,3,FALSE,0.5,1.21,0.4,2.11,TRUE,1.13
1,4,TRUE,0.4,1.36,0.3,1.12,TRUE,1.04
1,5,FALSE,0.35,1.5,0.4,1.21,FALSE,0.85
2,0,TRUE,0.4,1.05,0.5,1.35,FALSE,1.34
2,1,TRUE,0.4,1.31,0.45,1.36,TRUE,1.1
2,2,FALSE,0.3,1.17,0.4,1.22,FALSE,1.03
2,3,FALSE,0.35,1.26,0.4,0.98,TRUE,1.97
2,4,TRUE,0.4,1.1,0.6,1.06,FALSE,1.13
2,5,TRUE,0.4,0.99,0.2,1.14,FALSE,1.56
3,0,TRUE,0.4,1.4,0.3,1.14,FALSE,1.86
3,1,TRUE,0.4,1.01,0.5,1.06,TRUE,3.44
3,2,FALSE,0.45,1.02,0.4,0.9,TRUE,1.93
3,3,FALSE,0.35,1.11,0.4,1.14,TRUE,2.05
3,4,TRUE,0.4,1.08,0.6,1.17,FALSE,1.09
3,5,FALSE,0.2,1.17,0.4,1.03,FALSE,0.83
4,0,FALSE,0.45,1.46,0.4,1.13,TRUE,1.16
4,1,TRUE,0.4,0.86,0.6,0.95,FALSE,1.76
4,2,TRUE,0.4,0.74,0.5,1.07,TRUE,0.78
4,3,TRUE,0.4,1.04,0.3,0.98,FALSE,1.73
4,4,TRUE,0.4,1.3,0.35,0.9,TRUE,1.17
4,5,TRUE,0.4,1.07,0.2,0.98,TRUE,1.18
